State,Date,Hospitalized
ALABAMA,2015-01-01,14.0
ALABAMA,2015-02-01,15.0
ALABAMA,2015-03-01,22.0
ALABAMA,2015-04-01,21.0
ALABAMA,2015-05-01,23.0
ALABAMA,2015-06-01,21.0
ALABAMA,2015-07-01,25.0
ALABAMA,2015-08-01,23.0
ALABAMA,2015-09-01,15.0
ALABAMA,2015-10-01,26.0
ALABAMA,2015-11-01,18.0
ALABAMA,2015-12-01,12.0
ALABAMA,2016-01-01,29.0
ALABAMA,2016-02-01,17.0
ALABAMA,2016-03-01,17.0
ALABAMA,2016-04-01,21.0
ALABAMA,2016-05-01,21.0
ALABAMA,2016-06-01,24.0
ALABAMA,2016-07-01,22.0
ALABAMA,2016-08-01,29.0
ALABAMA,2016-09-01,25.0
ALABAMA,2016-10-01,25.0
ALABAMA,2016-11-01,13.0
ALABAMA,2016-12-01,13.0
ALABAMA,2017-01-01,25.0
ALABAMA,2017-02-01,10.0
ALABAMA,2017-03-01,21.0
ALABAMA,2017-04-01,15.0
ALABAMA,2017-05-01,22.0
ALABAMA,2017-06-01,18.0
ALABAMA,2017-07-01,27.0
ALABAMA,2017-08-01,25.0
ALABAMA,2017-09-01,16.0
ALABAMA,2017-10-01,25.0
ALABAMA,2017-11-01,27.0
ALABAMA,2017-12-01,12.0
ALABAMA,2018-01-01,22.0
ALABAMA,2018-02-01,26.0
ALABAMA,2018-03-01,19.0
ALABAMA,2018-04-01,23.0
ALABAMA,2018-05-01,38.0
ALABAMA,2018-06-01,28.0
ALABAMA,2018-07-01,43.0
ALABAMA,2018-08-01,41.0
ALABAMA,2018-09-01,22.0
ALABAMA,2018-10-01,28.0
ALABAMA,2018-11-01,26.0
ALABAMA,2018-12-01,17.0
ALABAMA,2019-01-01,22.0
ALABAMA,2019-02-01,25.0
ALABAMA,2019-03-01,22.0
ALABAMA,2019-04-01,32.0
ALABAMA,2019-05-01,27.0
ALABAMA,2019-06-01,27.0
ALABAMA,2019-07-01,25.0
ALABAMA,2019-08-01,20.0
ALABAMA,2019-09-01,26.0
ALABAMA,2019-10-01,30.0
ALABAMA,2019-11-01,20.0
ALABAMA,2019-12-01,20.0
ALABAMA,2020-01-01,23.0
