State,model,rmse,mae
ALABAMA,CatBoost,5.852165234135923,4.738651987166869
ALABAMA,ElasticNet,6.101084678579368,4.822513852258802
ALABAMA,Lasso,6.101042738312223,4.8224968786675015
ALABAMA,LightGBM,5.314445642715866,4.260868781984832
ALABAMA,PLS,6.1294268804264735,4.807894974883656
ALABAMA,Ridge,6.09160987538609,4.8207249425022995
ALABAMA,XGBoost,5.288747618449315,4.25262184937795
ARKANSAS,CatBoost,4.049348447087558,3.239079178310512
ARKANSAS,ElasticNet,3.9983743971825954,3.1778015589428623
ARKANSAS,Lasso,3.9983941677391748,3.177798970655418
ARKANSAS,LightGBM,3.6000532985956295,2.87902838433366
ARKANSAS,PLS,3.9700896298982866,3.1661759791724484
ARKANSAS,Ridge,4.02960838013543,3.1915989361259918
ARKANSAS,XGBoost,3.6666214988794645,2.9116348723570504
COLORADO,CatBoost,4.968474672409159,3.904031416647658
COLORADO,ElasticNet,5.039400501323438,4.004594365052007
COLORADO,Lasso,5.0393010044783155,4.004574525607824
COLORADO,LightGBM,4.571778213863329,3.6710054113834487
COLORADO,PLS,5.022114528504704,4.0016092412245845
COLORADO,Ridge,5.090833572629485,4.030820191803791
COLORADO,XGBoost,4.692531275962049,3.7402224838733673
CONNECTICUT,CatBoost,3.528427732549698,2.7311950861397896
CONNECTICUT,ElasticNet,3.373414438332913,2.644736254831214
CONNECTICUT,Lasso,3.373546220799551,2.6448061376643204
CONNECTICUT,LightGBM,3.1847337824660085,2.493709580276293
CONNECTICUT,PLS,3.3642978522109317,2.636097439787456
CONNECTICUT,Ridge,3.3836655596648493,2.6671103955351287
CONNECTICUT,XGBoost,3.143022290212177,2.4437658985455832
DELAWARE,CatBoost,1.6683593854781196,1.3789844262307678
DELAWARE,ElasticNet,1.7611381389814709,1.412935378132203
DELAWARE,Lasso,1.761030153606545,1.4128724563932975
DELAWARE,LightGBM,1.631768733904587,1.338364499666168
DELAWARE,PLS,1.7563918330110841,1.4221766994466336
DELAWARE,Ridge,1.7863043659534452,1.4284817440574173
DELAWARE,XGBoost,1.6247858587173254,1.3347131411234539
DISTRICT OF COLUMBIA,CatBoost,1.4695470805192101,1.2532730326245152
DISTRICT OF COLUMBIA,ElasticNet,1.5404486084926847,1.2731089717012116
DISTRICT OF COLUMBIA,Lasso,1.540381587146801,1.2730737355892046
DISTRICT OF COLUMBIA,LightGBM,1.3751411945282321,1.1288417865999698
DISTRICT OF COLUMBIA,PLS,1.529918709599727,1.2613325156275668
DISTRICT OF COLUMBIA,Ridge,1.5395380734286779,1.267126733842095
DISTRICT OF COLUMBIA,XGBoost,1.3529619390034502,1.1047994277129571
FLORIDA,CatBoost,10.407039191475167,8.523707206657564
FLORIDA,ElasticNet,12.356849298772682,9.592289003136129
FLORIDA,Lasso,12.356988173912272,9.592225917217908
FLORIDA,LightGBM,8.242382508127877,6.483769546655435
FLORIDA,PLS,12.444827354344774,9.654434838176922
FLORIDA,Ridge,12.353118727873923,9.787290093563339
FLORIDA,XGBoost,8.06386874186988,6.4070374965667725
GEORGIA,CatBoost,6.280557524828347,4.723428625927789
GEORGIA,ElasticNet,6.6890715497917475,5.107882124940093
GEORGIA,Lasso,6.689284296058068,5.10802986916731
GEORGIA,LightGBM,5.660380608033478,4.445269500577044
GEORGIA,PLS,6.732821623032386,5.154477522219714
GEORGIA,Ridge,6.595953108858524,5.084709133500069
GEORGIA,XGBoost,5.597866493942066,4.382661402225494
IDAHO,CatBoost,3.0871522753125094,2.4228363287493013
IDAHO,ElasticNet,3.1886594372546657,2.455210809662829
IDAHO,Lasso,3.1887309202288225,2.4553451859670057
IDAHO,LightGBM,2.8791280957234022,2.177531221625852
IDAHO,PLS,3.1927000441658553,2.461488985783847
IDAHO,Ridge,3.1783689921832097,2.4342381875848225
IDAHO,XGBoost,2.887303025746395,2.2185765927036605
ILLINOIS,CatBoost,6.717528010654229,5.46085280336015
ILLINOIS,ElasticNet,7.256822989161324,6.032835591349404
ILLINOIS,Lasso,7.2570615024612986,6.032862482594379
ILLINOIS,LightGBM,6.302163430688397,5.173137453279637
ILLINOIS,PLS,7.2424953975585495,6.027153744466221
ILLINOIS,Ridge,7.208750309934076,5.966272169321097
ILLINOIS,XGBoost,6.231694023158891,5.05170343319575
KANSAS,CatBoost,4.594621520082927,3.6736645457178803
KANSAS,ElasticNet,4.9074497078161,3.840867129053929
KANSAS,Lasso,4.907413725540997,3.840810108030992
KANSAS,LightGBM,4.322142104237731,3.4579536726763513
KANSAS,PLS,4.851656010350431,3.791024002628049
KANSAS,Ridge,4.907236596017384,3.8251446066116146
KANSAS,XGBoost,4.309629085231211,3.439261347055435
LOUISIANA,CatBoost,4.639672831471885,3.7527132770780134
LOUISIANA,ElasticNet,4.680042442490794,3.6479426424446104
LOUISIANA,Lasso,4.680278464029857,3.648121279936589
LOUISIANA,LightGBM,4.324924344203636,3.5031039137462834
LOUISIANA,PLS,4.719014097484775,3.6709265640867854
LOUISIANA,Ridge,4.644694768254613,3.664462039483405
LOUISIANA,XGBoost,4.312080266194458,3.4470102886358895
MAINE,CatBoost,2.362429243336979,1.8454929185866629
MAINE,ElasticNet,2.437310901795313,1.9376670845838186
MAINE,Lasso,2.4372696660418858,1.9376462773436465
MAINE,LightGBM,2.2601131217445394,1.8065284677343492
MAINE,PLS,2.437164457482909,1.9253035032955312
MAINE,Ridge,2.4593426506525087,1.9566216544689752
MAINE,XGBoost,2.2383910992156477,1.7842125271757443
MASSACHUSETTS,CatBoost,3.933973498069167,3.163963120312695
MASSACHUSETTS,ElasticNet,4.006928596502575,3.356812815155035
MASSACHUSETTS,Lasso,4.007003055194631,3.3568121237390423
MASSACHUSETTS,LightGBM,3.738335735332086,3.0640424607955405
MASSACHUSETTS,PLS,4.013714209275472,3.3788414828078075
MASSACHUSETTS,Ridge,4.05855988543332,3.416349169108462
MASSACHUSETTS,XGBoost,3.713853547825122,3.041019856929779
MISSISSIPPI,CatBoost,4.225828648305837,3.2751196159534284
MISSISSIPPI,ElasticNet,4.299244002342999,3.3198941698763336
MISSISSIPPI,Lasso,4.299377609231871,3.3199766043582706
MISSISSIPPI,LightGBM,3.931197809297936,3.058539308657622
MISSISSIPPI,PLS,4.321279354535414,3.337209668631676
MISSISSIPPI,Ridge,4.278365535808352,3.3566419426635625
MISSISSIPPI,XGBoost,3.8702675020472417,2.991343637307485
MISSOURI,CatBoost,5.070803893406998,4.113720230884219
MISSOURI,ElasticNet,5.139333263135813,4.1250606398526495
MISSOURI,Lasso,5.139320244522668,4.1251833103093025
MISSOURI,LightGBM,4.6459274526289045,3.8412214768840998
MISSOURI,PLS,5.128646050904067,4.119403156656843
MISSOURI,Ridge,5.1307926681416305,4.082068977019458
MISSOURI,XGBoost,4.61179354067076,3.7505769530932107
MONTANA,CatBoost,2.1530461724164005,1.705456920541969
MONTANA,ElasticNet,2.2946484424932136,1.814299469653234
MONTANA,Lasso,2.2946061443128625,1.8143380002166047
MONTANA,LightGBM,2.0929045400957813,1.6667284755863243
MONTANA,PLS,2.283837524934805,1.800351453103526
MONTANA,Ridge,2.307237770529488,1.8254470259988569
MONTANA,XGBoost,2.1058918048295863,1.6793387321134408
NEBRASKA,CatBoost,3.898515506933124,3.13918901782694
NEBRASKA,ElasticNet,3.880473085431396,3.1271523723852908
NEBRASKA,Lasso,3.8805444823970476,3.1272493562894
NEBRASKA,LightGBM,3.694715478353984,3.0365269257093055
NEBRASKA,PLS,3.885369457800978,3.1330586704973924
NEBRASKA,Ridge,3.874129590679653,3.118155993969919
NEBRASKA,XGBoost,3.637874927032591,2.990902453660965
NEW HAMPSHIRE,CatBoost,2.3598169406262013,1.96235395018994
NEW HAMPSHIRE,ElasticNet,2.5543122467045145,2.0395033922682924
NEW HAMPSHIRE,Lasso,2.5543090053996513,2.0394694082906
NEW HAMPSHIRE,LightGBM,2.276931195848525,1.8930407692193791
NEW HAMPSHIRE,PLS,2.5670181946459874,2.0394247871568534
NEW HAMPSHIRE,Ridge,2.544228489622441,2.037206842609406
NEW HAMPSHIRE,XGBoost,2.2901161358845563,1.8953132964670658
NEW JERSEY,CatBoost,4.768683749999844,3.8178594117647666
NEW JERSEY,ElasticNet,4.932374417808478,3.8913837568175693
NEW JERSEY,Lasso,4.9322635054294715,3.8913096269968954
NEW JERSEY,LightGBM,4.347942155787674,3.474571641494712
NEW JERSEY,PLS,4.917133876719896,3.8836096882508877
NEW JERSEY,Ridge,4.948335670426326,3.898038236509431
NEW JERSEY,XGBoost,4.283201164282342,3.454305817683538
NEW YORK,CatBoost,5.922586931514615,4.765604580239944
NEW YORK,ElasticNet,6.114186254843286,4.849163888460738
NEW YORK,Lasso,6.114222136519868,4.849240595710165
NEW YORK,LightGBM,5.320987367601236,4.271429930151307
NEW YORK,PLS,6.123267678460802,4.893178983656406
NEW YORK,Ridge,6.143614645263526,4.881871482224377
NEW YORK,XGBoost,5.2148048481400275,4.18534791469574
NORTH DAKOTA,CatBoost,2.748271159084397,2.1591218865940696
