State,model,rmse,mae
ALABAMA,CatBoost,6.016351692475173,4.8196127084604
ALABAMA,ElasticNet,6.082975272132966,4.747218249361668
ALABAMA,Lasso,6.082979597257717,4.747251265089209
ALABAMA,LightGBM,5.369111652854385,4.258235368982791
ALABAMA,PLS,6.086178018635098,4.761940787556752
ALABAMA,Ridge,6.073489910814477,4.753189582663057
ALABAMA,XGBoost,5.350382833380682,4.25810565551122
ARKANSAS,CatBoost,3.9390394561062045,3.0515554099931363
ARKANSAS,ElasticNet,3.976892776480953,3.1427101065481167
ARKANSAS,Lasso,3.976929138214581,3.1426758276023157
ARKANSAS,LightGBM,3.598880087305089,2.8656481470282524
ARKANSAS,PLS,3.967931528329748,3.1397235771426586
ARKANSAS,Ridge,4.003576926162415,3.1518024078426663
ARKANSAS,XGBoost,3.6417162744145974,2.8789787888526917
COLORADO,CatBoost,4.816319133860798,3.812451584411343
COLORADO,ElasticNet,5.035212731431569,4.005569577677689
COLORADO,Lasso,5.0350711779831725,4.005485139829099
COLORADO,LightGBM,4.629832228681694,3.730738241100149
COLORADO,PLS,5.023444805629989,4.002060483446655
COLORADO,Ridge,5.0865966836561025,4.041794568168238
COLORADO,XGBoost,4.7287943717051295,3.757475326458613
CONNECTICUT,CatBoost,3.4550688577493065,2.671035996526746
CONNECTICUT,ElasticNet,3.379603439413598,2.6588719295194205
CONNECTICUT,Lasso,3.379723738759533,2.658890250546265
CONNECTICUT,LightGBM,3.203988849464969,2.491290579191167
CONNECTICUT,PLS,3.3897860003385527,2.6503927740549487
CONNECTICUT,Ridge,3.3847042640852636,2.6847937535632327
CONNECTICUT,XGBoost,3.1458923915957073,2.451815421382586
DELAWARE,CatBoost,1.6392506887194986,1.364494712397453
DELAWARE,ElasticNet,1.6935193175589596,1.3666185043288335
DELAWARE,Lasso,1.6934214650981514,1.3665321596172701
DELAWARE,LightGBM,1.6075496414481352,1.3254441505766132
DELAWARE,PLS,1.6877371171190991,1.3598477202877952
DELAWARE,Ridge,1.7167383023224525,1.3888944073524587
DELAWARE,XGBoost,1.5774783450576773,1.294837847352028
DISTRICT OF COLUMBIA,CatBoost,1.4834666569811856,1.2587470470047162
DISTRICT OF COLUMBIA,ElasticNet,1.5391935140380768,1.240181519491338
DISTRICT OF COLUMBIA,Lasso,1.5390540579426382,1.24004528975543
DISTRICT OF COLUMBIA,LightGBM,1.3921048640306553,1.145458232919821
DISTRICT OF COLUMBIA,PLS,1.531205702858816,1.2262455991030585
DISTRICT OF COLUMBIA,Ridge,1.5404312403943508,1.240005935761473
DISTRICT OF COLUMBIA,XGBoost,1.3347268429264538,1.0988231748342514
FLORIDA,CatBoost,10.110200667720866,8.498759395059416
FLORIDA,ElasticNet,12.36490698315468,9.622070965459377
FLORIDA,Lasso,12.365033459777676,9.621964655502994
FLORIDA,LightGBM,8.56002669260148,6.92822542431044
FLORIDA,PLS,12.398319204553028,9.61567862416993
FLORIDA,Ridge,12.359799572602428,9.814265832704365
FLORIDA,XGBoost,8.031581330500506,6.471023797988892
GEORGIA,CatBoost,6.183161625576106,4.8369212942098905
GEORGIA,ElasticNet,6.699531449264342,5.124858130662742
GEORGIA,Lasso,6.699773969227473,5.125091591321616
GEORGIA,LightGBM,5.73871317709025,4.512979836203723
GEORGIA,PLS,6.728662340354286,5.158149294550596
GEORGIA,Ridge,6.611602737190552,5.081053978426172
GEORGIA,XGBoost,5.64259342154318,4.397160331408183
IDAHO,CatBoost,3.1537556537382114,2.453140564030243
IDAHO,ElasticNet,3.190597066985055,2.4585650706927216
IDAHO,Lasso,3.190637407634184,2.45867197460545
IDAHO,LightGBM,2.892653943066737,2.18932102244963
IDAHO,PLS,3.2018753609594204,2.467276666953461
IDAHO,Ridge,3.1826659901002112,2.4367029279593297
IDAHO,XGBoost,2.8887788788486226,2.237697720527649
ILLINOIS,CatBoost,6.812547075797114,5.617320678509657
ILLINOIS,ElasticNet,7.344592294486544,6.117356537137613
ILLINOIS,Lasso,7.344827898240458,6.117596933444408
ILLINOIS,LightGBM,6.453774141429131,5.296178356023044
ILLINOIS,PLS,7.346185245626552,6.105260654860072
ILLINOIS,Ridge,7.294806580993928,6.062283410399927
ILLINOIS,XGBoost,6.3269847773174686,5.106479267279307
KANSAS,CatBoost,4.761280069061353,3.843656325396529
KANSAS,ElasticNet,4.890323050739495,3.824345134650637
KANSAS,Lasso,4.890340085584128,3.8244231132724593
KANSAS,LightGBM,4.318021275343111,3.4538347289743356
KANSAS,PLS,4.833420746815587,3.7653864004510957
KANSAS,Ridge,4.892753357785067,3.802931001008881
