split_id,train_end,horizon,model,set,n_rows,MAE,RMSE,MASE
1,2018-12-01,1,Seasonal Naive,test,360,0.3024286227192104,0.41973335599858086,0.9901624987867779
1,2018-12-01,1,Ridge,train,1080,0.2246944638108406,0.31256115827594233,0.7637052903454536
1,2018-12-01,1,Ridge,test,360,0.22807892151772063,0.3057200115733949,0.7852164535099806
1,2018-12-01,1,Lasso,train,1080,0.22482435423594835,0.31332723900006465,0.7629413817604039
1,2018-12-01,1,Lasso,test,360,0.22793669869586008,0.3044785806732146,0.7859791314380993
1,2018-12-01,1,ElasticNet,train,1080,0.22481847509037411,0.31305820959546377,0.7630910014585061
1,2018-12-01,1,ElasticNet,test,360,0.2282960212762517,0.3051807471459705,0.7868795109852436
1,2018-12-01,1,PLS,train,1080,0.22453978046658096,0.313356564403308,0.7631200873700459
1,2018-12-01,1,PLS,test,360,0.22869925730870524,0.3045507150190032,0.7916933009672624
1,2018-12-01,1,XGBoost,train,1080,0.15044053682706138,0.20021702814158365,0.5538150674605093
1,2018-12-01,1,XGBoost,test,360,0.23679252633618747,0.3184701692918306,0.8148783678001545
1,2018-12-01,1,LightGBM,train,1080,0.16998189706473654,0.23014674052360024,0.5973555336490125
1,2018-12-01,1,LightGBM,test,360,0.23051255697389786,0.30798940906444583,0.7891802432360281
1,2018-12-01,1,CatBoost,train,1080,0.18789787562836505,0.2523106616371567,0.6606592988892338
1,2018-12-01,1,CatBoost,test,360,0.2284697319909054,0.3080568226439228,0.7853296898405527
1,2018-12-01,3,Seasonal Naive,test,360,0.30542266069087,0.4366836094605152,0.9972274644059466
1,2018-12-01,3,Ridge,train,1080,0.22312880202297192,0.3108008719761277,0.7581894829890887
1,2018-12-01,3,Ridge,test,360,0.2271566621321007,0.310292369017476,0.7880190962669509
1,2018-12-01,3,Lasso,train,1080,0.222809041223367,0.3111224840211062,0.7555386005296929
1,2018-12-01,3,Lasso,test,360,0.22735451578461927,0.30905758006623973,0.7925713992089426
1,2018-12-01,3,ElasticNet,train,1080,0.22282854502923174,0.3109367577361324,0.7561684181407017
1,2018-12-01,3,ElasticNet,test,360,0.22718936082115854,0.30946607448665275,0.7906462269073374
1,2018-12-01,3,PLS,train,1080,0.22300995979959357,0.311145892203523,0.7565020055257702
1,2018-12-01,3,PLS,test,360,0.22812591313026742,0.3107872996262582,0.7964870873349852
1,2018-12-01,3,XGBoost,train,1080,0.1517546999630262,0.19999210584128116,0.5589403607598881
1,2018-12-01,3,XGBoost,test,360,0.25389427287878424,0.3415383213851111,0.8824852428799385
1,2018-12-01,3,LightGBM,train,1080,0.16847266802907954,0.22738855651894746,0.5947345698903723
1,2018-12-01,3,LightGBM,test,360,0.24761722726697455,0.3268664918294053,0.8619419245911042
1,2018-12-01,3,CatBoost,train,1080,0.19191577834850687,0.257028870145557,0.6694248165765568
1,2018-12-01,3,CatBoost,test,360,0.23969220467966165,0.3180343911091076,0.8282001994052782
1,2018-12-01,6,Seasonal Naive,test,360,0.2941565714846037,0.4234890542413364,0.9809968034216537
1,2018-12-01,6,Ridge,train,1080,0.2238512422109448,0.3106906365738016,0.764529635499931
1,2018-12-01,6,Ridge,test,360,0.2296970730268671,0.3099098230677007,0.8053715181632062
1,2018-12-01,6,Lasso,train,1080,0.22366073924284804,0.311030070186796,0.763352479470089
1,2018-12-01,6,Lasso,test,360,0.2300430128470914,0.3092266460275625,0.807839490128693
1,2018-12-01,6,ElasticNet,train,1080,0.22369921764360742,0.3108953404981789,0.7636736437089126
1,2018-12-01,6,ElasticNet,test,360,0.2299028408961241,0.3095174807759879,0.8069112793602022
1,2018-12-01,6,PLS,train,1080,0.2238953489530657,0.3108079779423788,0.7645369495881041
1,2018-12-01,6,PLS,test,360,0.22984657963181532,0.3100304943804651,0.80609059491182
1,2018-12-01,6,XGBoost,train,1080,0.1474114908343304,0.19826024355128646,0.5451360320324052
1,2018-12-01,6,XGBoost,test,360,0.24216498055110275,0.328220952798455,0.8461203932849456
1,2018-12-01,6,LightGBM,train,1080,0.16613515262713532,0.22719038681953602,0.590346151344801
1,2018-12-01,6,LightGBM,test,360,0.2374318780683433,0.3217119590003788,0.835780708654288
1,2018-12-01,6,CatBoost,train,1080,0.18720170471583286,0.2553880285846303,0.661810163567071
1,2018-12-01,6,CatBoost,test,360,0.23814301377287014,0.3215679745474104,0.8305182362934084
2,2019-12-01,1,Seasonal Naive,test,360,0.3145836059382197,0.4477149444185303,1.0853845289045287
2,2019-12-01,1,Ridge,train,1440,0.2245367098243426,0.310287761580652,0.7760478028972576
2,2019-12-01,1,Ridge,test,360,0.22818690917962567,0.30211007513872884,0.7914215956221672
2,2019-12-01,1,Lasso,train,1440,0.2251825470890592,0.31091076816302704,0.7772234498148268
2,2019-12-01,1,Lasso,test,360,0.22762860297472357,0.30128970070086064,0.7916709633119079
2,2019-12-01,1,ElasticNet,train,1440,0.2250183658644623,0.31071718752934624,0.7770241177032052
2,2019-12-01,1,ElasticNet,test,360,0.2276132520339934,0.3014216178995063,0.7905854830415222
2,2019-12-01,1,PLS,train,1440,0.22476654441958407,0.31084887533829264,0.7766775987869234
2,2019-12-01,1,PLS,test,360,0.22883236967071446,0.3022095251819497,0.7960097436268663
2,2019-12-01,1,XGBoost,train,1440,0.16204363007330203,0.21690793326887214,0.5954206770510632
2,2019-12-01,1,XGBoost,test,360,0.2405483932823109,0.31640769502135574,0.8450605486637484
2,2019-12-01,1,LightGBM,train,1440,0.17850777752470945,0.23949119822919182,0.6349072212487094
2,2019-12-01,1,LightGBM,test,360,0.24028903039388425,0.31242865112966745,0.851409119303741
2,2019-12-01,1,CatBoost,train,1440,0.1952314041654532,0.263255180752181,0.690554730338842
2,2019-12-01,1,CatBoost,test,360,0.23857986647665866,0.31046478405651984,0.8434348758607558
2,2019-12-01,3,Seasonal Naive,test,360,0.31184520508814745,0.43060364946271046,1.0826431682854936
2,2019-12-01,3,Ridge,train,1440,0.22197517077045575,0.3087642239619959,0.7685014018672699
2,2019-12-01,3,Ridge,test,360,0.22649242250838897,0.3033098435963738,0.7736839070635209
2,2019-12-01,3,Lasso,train,1440,0.2223442411192347,0.30905109596995395,0.7693821217878876
2,2019-12-01,3,Lasso,test,360,0.22540133939671872,0.3024379474514666,0.7682757596928891
2,2019-12-01,3,ElasticNet,train,1440,0.2221780354395386,0.3088617418089312,0.7690104202680053
2,2019-12-01,3,ElasticNet,test,360,0.22581850728033404,0.3027626089509291,0.770465688679973
2,2019-12-01,3,PLS,train,1440,0.22185920171478482,0.30885972721136173,0.767399426781478
2,2019-12-01,3,PLS,test,360,0.22698825076056547,0.30385838259939396,0.7746064490620341
2,2019-12-01,3,XGBoost,train,1440,0.163779297931536,0.21754550799386096,0.6047211505218737
2,2019-12-01,3,XGBoost,test,360,0.23923853899680936,0.32000373299600765,0.8295389871745217
2,2019-12-01,3,LightGBM,train,1440,0.17970301537790528,0.24177144892656552,0.6421657612055988
2,2019-12-01,3,LightGBM,test,360,0.23868382722867443,0.316523336960166,0.8290518686330052
2,2019-12-01,3,CatBoost,train,1440,0.1962708808121419,0.2654469608541984,0.6915516662224104
2,2019-12-01,3,CatBoost,test,360,0.2358382009573729,0.3104968945020729,0.8223230986547967
2,2019-12-01,6,Seasonal Naive,test,360,0.31094772998101444,0.42647219953586,1.0670448903107685
2,2019-12-01,6,Ridge,train,1440,0.22327938545753795,0.30871442796998927,0.7806713469222324
2,2019-12-01,6,Ridge,test,360,0.23435815681127806,0.3141984868583347,0.8138728979223464
2,2019-12-01,6,Lasso,train,1440,0.2233134568264997,0.3089952157071501,0.7806323873290031
2,2019-12-01,6,Lasso,test,360,0.23418357617094998,0.31371136331133964,0.8115364489463603
2,2019-12-01,6,ElasticNet,train,1440,0.22325741125088316,0.3088633151722591,0.7804388573228149
2,2019-12-01,6,ElasticNet,test,360,0.23429454169747027,0.3139975312121457,0.8127228955205541
2,2019-12-01,6,PLS,train,1440,0.223315345632584,0.3087872151052383,0.7808367569026703
2,2019-12-01,6,PLS,test,360,0.23444474807644783,0.3144124138134697,0.8145658400391789
2,2019-12-01,6,XGBoost,train,1440,0.16091822258216693,0.21723524467510855,0.596935061979011
2,2019-12-01,6,XGBoost,test,360,0.258938972624691,0.3394564437212361,0.9038148176650292
2,2019-12-01,6,LightGBM,train,1440,0.17680569080454875,0.24006457165031728,0.6334845835958138
2,2019-12-01,6,LightGBM,test,360,0.2530581850699899,0.33355020299742616,0.8928947123585882
2,2019-12-01,6,CatBoost,train,1440,0.19295186261455094,0.2624893134686661,0.6845989795262377
2,2019-12-01,6,CatBoost,test,360,0.2518833608204845,0.3316680267197222,0.8800684804604256
3,2020-12-01,1,Seasonal Naive,test,360,0.27217594139668255,0.36925583465906475,0.9301613799273823
3,2020-12-01,1,Ridge,train,1800,0.22188250018515973,0.30634870468451153,0.7504705837236295
3,2020-12-01,1,Ridge,test,360,0.2144167556653952,0.29496154407726705,0.7496587084491046
3,2020-12-01,1,Lasso,train,1800,0.22236260849105985,0.306763692498549,0.7513515379811626
3,2020-12-01,1,Lasso,test,360,0.2139366384914648,0.2942432541658194,0.7468542212800486
3,2020-12-01,1,ElasticNet,train,1800,0.22221021867204313,0.30661435520185193,0.7511556724375652
3,2020-12-01,1,ElasticNet,test,360,0.21425614999819848,0.29462079417801684,0.7480667266121073
3,2020-12-01,1,PLS,train,1800,0.22210221959831206,0.3066928082011696,0.7515969626746508
3,2020-12-01,1,PLS,test,360,0.21478670024007573,0.29495723602668006,0.7497645487721415
3,2020-12-01,1,XGBoost,train,1800,0.168171280087181,0.2241742296736896,0.6012492603977435
3,2020-12-01,1,XGBoost,test,360,0.20816933398677862,0.2918836904214296,0.7203689667362289
3,2020-12-01,1,LightGBM,train,1800,0.18261730373927,0.2460811265086751,0.6323595384515561
3,2020-12-01,1,LightGBM,test,360,0.20487191241392955,0.28342223789732235,0.7114101185630536
3,2020-12-01,1,CatBoost,train,1800,0.1957271668362233,0.26441081037161274,0.6727203171721701
3,2020-12-01,1,CatBoost,test,360,0.20514768525750182,0.28553229721801954,0.7071642435698268
3,2020-12-01,3,Seasonal Naive,test,360,0.27121435491146434,0.3640574520038359,0.9381553573454802
3,2020-12-01,3,Ridge,train,1800,0.2213502139616834,0.30656435383964903,0.7509477926361515
3,2020-12-01,3,Ridge,test,360,0.2034409483111784,0.2759452520237192,0.7265643233945328
3,2020-12-01,3,Lasso,train,1800,0.2214730617097288,0.30690094488319686,0.7507526931941896
3,2020-12-01,3,Lasso,test,360,0.2023375574410599,0.2758470286670312,0.7188291806828698
3,2020-12-01,3,ElasticNet,train,1800,0.22138448094159702,0.3066834221212028,0.7506870716161018
3,2020-12-01,3,ElasticNet,test,360,0.2029289070603573,0.27598330803534915,0.7227566551593188
3,2020-12-01,3,PLS,train,1800,0.22132629367720968,0.3066622061559226,0.7500248057168328
