split_id,train_end,horizon,model,set,n_rows,MAE,RMSE,MASE
1,2018-12-01,1,Seasonal Naive,test,360,0.3024286227192104,0.41973335599858086,0.9901624987867779
1,2018-12-01,1,Ridge,train,1080,0.2217950617784003,0.3082247614261122,0.7509225539426693
1,2018-12-01,1,Ridge,test,360,0.23028052968049725,0.30698997665094363,0.789529081867266
1,2018-12-01,1,Lasso,train,1080,0.22183942281417254,0.30904951418249127,0.750154441954977
1,2018-12-01,1,Lasso,test,360,0.22917206904311058,0.3050414001964818,0.7853446980260866
1,2018-12-01,1,ElasticNet,train,1080,0.2218612203805828,0.30873884413221186,0.750555244386555
1,2018-12-01,1,ElasticNet,test,360,0.22971861449116665,0.3059989144773634,0.7870660021139314
1,2018-12-01,1,PLS,train,1080,0.22216727932127994,0.3094278340571628,0.7513097189809158
1,2018-12-01,1,PLS,test,360,0.22992984772031463,0.30573442169537607,0.7866069139383943
1,2018-12-01,1,XGBoost,train,1080,0.14077778870313923,0.1839131077316201,0.5249220786680138
1,2018-12-01,1,XGBoost,test,360,0.23622342395929272,0.3168508861432767,0.8036257677441294
1,2018-12-01,1,LightGBM,train,1080,0.15718258773082633,0.21109748200055567,0.5622977973024356
1,2018-12-01,1,LightGBM,test,360,0.23187790592092603,0.30843316756599176,0.7968436048278132
1,2018-12-01,1,CatBoost,train,1080,0.17818734978772152,0.24049437192123435,0.6310304732445214
1,2018-12-01,1,CatBoost,test,360,0.23338125375159977,0.3108466470250716,0.7982057092316123
1,2018-12-01,3,Seasonal Naive,test,360,0.30542266069087,0.4366836094605152,0.9972274644059466
1,2018-12-01,3,Ridge,train,1080,0.21994515620908847,0.30733463030798597,0.7426891507924771
1,2018-12-01,3,Ridge,test,360,0.22768580845421985,0.3100256297310985,0.7873166643391258
1,2018-12-01,3,Lasso,train,1080,0.21971632425603627,0.307862211664769,0.7408184177497897
1,2018-12-01,3,Lasso,test,360,0.22732070426091985,0.3081969359584892,0.7873652733201317
1,2018-12-01,3,ElasticNet,train,1080,0.2197451996557684,0.30751198929807255,0.7412404429396121
1,2018-12-01,3,ElasticNet,test,360,0.22733555781528325,0.3089259506116552,0.7867803513088546
1,2018-12-01,3,PLS,train,1080,0.22008566444742625,0.30802208392663977,0.7409194754330007
1,2018-12-01,3,PLS,test,360,0.22425982227305385,0.30558345031937306,0.7747924092777372
1,2018-12-01,3,XGBoost,train,1080,0.14101732131995068,0.1878521127578231,0.5247202808522239
1,2018-12-01,3,XGBoost,test,360,0.2519912269207346,0.34003097410587085,0.8835474614570441
1,2018-12-01,3,LightGBM,train,1080,0.1566450454504069,0.21256677948965264,0.5606401851502983
1,2018-12-01,3,LightGBM,test,360,0.2517258261915393,0.3305115283840499,0.8884183195628459
1,2018-12-01,3,CatBoost,train,1080,0.1861293055061641,0.25052408171223794,0.6513708848465929
1,2018-12-01,3,CatBoost,test,360,0.2406089491187501,0.32149057785083685,0.8272819946512011
1,2018-12-01,6,Seasonal Naive,test,360,0.2941565714846037,0.4234890542413364,0.9809968034216537
1,2018-12-01,6,Ridge,train,1080,0.22125208725681011,0.3066613706765413,0.7520584082811567
1,2018-12-01,6,Ridge,test,360,0.23347540958086246,0.31205981901306895,0.8192662772012257
1,2018-12-01,6,Lasso,train,1080,0.22095305109351102,0.3072469658562967,0.7519985206672014
1,2018-12-01,6,Lasso,test,360,0.2324889917601649,0.31041872852031765,0.815352780274311
1,2018-12-01,6,ElasticNet,train,1080,0.22104605678410588,0.3069373395487262,0.7517179124510647
1,2018-12-01,6,ElasticNet,test,360,0.23296792594539023,0.3111302510152677,0.8175221287736808
1,2018-12-01,6,PLS,train,1080,0.22162404562250287,0.30699577218279556,0.753245637479781
1,2018-12-01,6,PLS,test,360,0.23232226221982577,0.3106776856553809,0.8109056304632869
1,2018-12-01,6,XGBoost,train,1080,0.13887984775627268,0.1845152041308842,0.5137046491227159
1,2018-12-01,6,XGBoost,test,360,0.24762905549102782,0.3259506817572848,0.8692328726613432
1,2018-12-01,6,LightGBM,train,1080,0.15725065318488646,0.21473244687692095,0.5563017944935172
1,2018-12-01,6,LightGBM,test,360,0.23848337660566576,0.3135292941896084,0.8460060327746113
1,2018-12-01,6,CatBoost,train,1080,0.18103745524840223,0.24391670827963924,0.6406604515839961
1,2018-12-01,6,CatBoost,test,360,0.24551080589743834,0.3270679110887997,0.8536937851365034
2,2019-12-01,1,Seasonal Naive,test,360,0.3145836059382197,0.4477149444185303,1.0853845289045287
2,2019-12-01,1,Ridge,train,1440,0.22236137867631098,0.3069722050074012,0.7635219853657746
2,2019-12-01,1,Ridge,test,360,0.2319775759008236,0.3058292849838292,0.8103195968180821
2,2019-12-01,1,Lasso,train,1440,0.22289608644772557,0.307663681199091,0.7650566692867657
2,2019-12-01,1,Lasso,test,360,0.22908425720203185,0.3031267904724118,0.798213138317483
2,2019-12-01,1,ElasticNet,train,1440,0.22268054707616727,0.3074378610534998,0.764358764779827
2,2019-12-01,1,ElasticNet,test,360,0.22923835101576653,0.3035211875241336,0.7984703739980394
2,2019-12-01,1,PLS,train,1440,0.22288881288214193,0.3077474505214766,0.7653200994773977
2,2019-12-01,1,PLS,test,360,0.23288026066625278,0.30622618370775195,0.8142067338240022
2,2019-12-01,1,XGBoost,train,1440,0.15411509377160856,0.20466372380642794,0.5732525219240987
2,2019-12-01,1,XGBoost,test,360,0.2489977049335912,0.32160625167451967,0.8856032874862299
2,2019-12-01,1,LightGBM,train,1440,0.16982497765694105,0.22564331500212828,0.6163656483874688
2,2019-12-01,1,LightGBM,test,360,0.24668911271247376,0.3178553030402863,0.8735428932981181
2,2019-12-01,1,CatBoost,train,1440,0.18930323334105473,0.2536181570514624,0.6729354681790636
2,2019-12-01,1,CatBoost,test,360,0.24010101594453823,0.3136218390411489,0.8537055107788194
2,2019-12-01,3,Seasonal Naive,test,360,0.31184520508814745,0.43060364946271046,1.0826431682854936
2,2019-12-01,3,Ridge,train,1440,0.21917824307828251,0.3054642988969526,0.7520878576408588
2,2019-12-01,3,Ridge,test,360,0.23611645560190023,0.31301489525554926,0.8147774446073113
2,2019-12-01,3,Lasso,train,1440,0.21939786443184345,0.30591038229562945,0.7530490457013169
2,2019-12-01,3,Lasso,test,360,0.23176639067998428,0.30912615267808685,0.7946470106303695
2,2019-12-01,3,ElasticNet,train,1440,0.21927500015657775,0.3056353580600222,0.7524637595458057
2,2019-12-01,3,ElasticNet,test,360,0.2332681599261708,0.31044584137342124,0.8018817289126673
2,2019-12-01,3,PLS,train,1440,0.21964863906021187,0.3059849988236157,0.7527504790001771
2,2019-12-01,3,PLS,test,360,0.23829457898411796,0.3147949508893113,0.8231600252321931
2,2019-12-01,3,XGBoost,train,1440,0.15476730275653863,0.2056307718781953,0.5778683878157529
2,2019-12-01,3,XGBoost,test,360,0.2399074411222298,0.31682469748732245,0.8269767011444495
2,2019-12-01,3,LightGBM,train,1440,0.17341119800366803,0.23297961748403065,0.6175224044467942
2,2019-12-01,3,LightGBM,test,360,0.24045434200564522,0.31727293593951167,0.8372380354601334
2,2019-12-01,3,CatBoost,train,1440,0.1920987260287969,0.25794596073952103,0.6798541271243488
2,2019-12-01,3,CatBoost,test,360,0.23762898955013878,0.3140295962208048,0.830625612953574
2,2019-12-01,6,Seasonal Naive,test,360,0.31094772998101444,0.42647219953586,1.0670448903107685
