split_id,train_end,horizon,model,set,n_rows,MAE,RMSE,MASE
1,2018-12-01,1,Seasonal Naive,test,360,0.3024286227192104,0.41973335599858086,0.9901624987867779
1,2018-12-01,1,Ridge,train,1080,0.16809007276196666,0.23577415354048334,0.5618494555174943
1,2018-12-01,1,Ridge,test,360,0.29815944018189827,0.41151930538012066,0.9961296795916841
1,2018-12-01,1,Lasso,train,1080,0.16204227249482295,0.22506500792847858,0.5451821959406327
1,2018-12-01,1,Lasso,test,360,0.35121931894161607,0.5140991357654164,1.1345431584437506
1,2018-12-01,1,ElasticNet,train,1080,0.1612353038661683,0.22408699427394516,0.5412598662397675
1,2018-12-01,1,ElasticNet,test,360,0.3570362501802063,0.5177795387558402,1.1602999543822041
1,2018-12-01,1,PLS,train,1080,0.16493361083713268,0.22967160024482983,0.5522647008980481
1,2018-12-01,1,PLS,test,360,0.34530972926104053,0.4781405077971193,1.1441721203013426
1,2018-12-01,1,XGBoost,train,1080,0.00851850675761885,0.01247129270121697,0.030763352048708895
1,2018-12-01,1,XGBoost,test,360,0.25162289906881885,0.35090919392501563,0.8363469755305332
1,2018-12-01,1,LightGBM,train,1080,0.22099370088965545,0.3077552121700142,0.7469438253647789
1,2018-12-01,1,LightGBM,test,360,0.21727083167831315,0.29025667866556987,0.7397025915995755
1,2018-12-01,1,CatBoost,train,1080,0.05687632876749253,0.077064156279496,0.19295718266938536
1,2018-12-01,1,CatBoost,test,360,0.2282238477103153,0.31414692246368026,0.7731717706980539
1,2018-12-01,3,Seasonal Naive,test,360,0.30542266069087,0.4366836094605152,0.9972274644059466
1,2018-12-01,3,Ridge,train,1080,0.16843941274390045,0.23591706611962734,0.5611921302403622
1,2018-12-01,3,Ridge,test,360,0.2632497924288919,0.3711078250721701,0.9251998752847456
1,2018-12-01,3,Lasso,train,1080,0.16117199307738683,0.22654580157652313,0.5414621311947202
1,2018-12-01,3,Lasso,test,360,0.2887219300108602,0.4003820604962191,1.0134927176501092
1,2018-12-01,3,ElasticNet,train,1080,0.16004971856083167,0.22537729045268748,0.5361160735776908
1,2018-12-01,3,ElasticNet,test,360,0.2969435625548745,0.40784400968580714,1.0552836686391283
1,2018-12-01,3,PLS,train,1080,0.16326318541924642,0.22967937777542238,0.5443758928293342
1,2018-12-01,3,PLS,test,360,0.30444425067412734,0.4121925457628261,1.0755949234327342
1,2018-12-01,3,XGBoost,train,1080,0.009023227902284629,0.01390149966154411,0.029810455776898226
1,2018-12-01,3,XGBoost,test,360,0.24478558308068743,0.3403266364625582,0.8325554618318405
1,2018-12-01,3,LightGBM,train,1080,0.22006245302573524,0.30528800427824315,0.7415950867987197
1,2018-12-01,3,LightGBM,test,360,0.2249972981729118,0.29735913437121203,0.7760037805957565
1,2018-12-01,3,CatBoost,train,1080,0.05917458106026722,0.08434439182678953,0.19413419135435386
1,2018-12-01,3,CatBoost,test,360,0.23308876746658952,0.31914137300280676,0.7959349805633201
1,2018-12-01,6,Seasonal Naive,test,360,0.2941565714846037,0.4234890542413364,0.9809968034216537
1,2018-12-01,6,Ridge,train,1080,0.16949748497211112,0.23441052261654774,0.569173582105297
1,2018-12-01,6,Ridge,test,360,0.27450507925693957,0.3686867692471704,0.9710633401317573
1,2018-12-01,6,Lasso,train,1080,0.16469499564816847,0.22829028131944804,0.55545730066965
1,2018-12-01,6,Lasso,test,360,0.29518212452113946,0.40198938873657536,1.021361714733019
1,2018-12-01,6,ElasticNet,train,1080,0.1635583250581153,0.22716507354419427,0.5508069737560958
1,2018-12-01,6,ElasticNet,test,360,0.29901661743425945,0.4040040265062396,1.0415039469733702
1,2018-12-01,6,PLS,train,1080,0.1659350051565911,0.23054649901014673,0.5568522724871705
1,2018-12-01,6,PLS,test,360,0.3060562124226755,0.41288553701342556,1.0759218150762648
1,2018-12-01,6,XGBoost,train,1080,0.008031812994991455,0.011972163683403972,0.02697247639076549
1,2018-12-01,6,XGBoost,test,360,0.2538085574407034,0.33710628285678407,0.9082440168382678
1,2018-12-01,6,LightGBM,train,1080,0.2177605809852804,0.2996702701737756,0.7348244358254505
1,2018-12-01,6,LightGBM,test,360,0.2343807065737107,0.3105052846498691,0.8126215872642414
1,2018-12-01,6,CatBoost,train,1080,0.0548184304545913,0.0752784895515271,0.18402184664871632
1,2018-12-01,6,CatBoost,test,360,0.24379831040686184,0.3255123507781677,0.8589346441063548
2,2019-12-01,1,Seasonal Naive,test,360,0.3145836059382197,0.4477149444185303,1.0853845289045287
2,2019-12-01,1,Ridge,train,1440,0.1785627121321291,0.24733746876925292,0.6082871158104924
2,2019-12-01,1,Ridge,test,360,0.32372647926164877,0.4444582036106663,1.1370711728052005
2,2019-12-01,1,Lasso,train,1440,0.17588548636068788,0.24203728041333314,0.601405927205412
2,2019-12-01,1,Lasso,test,360,0.334449005313656,0.4482088462710061,1.1730303155196289
2,2019-12-01,1,ElasticNet,train,1440,0.17508377549661677,0.24095466256860798,0.5974994085588219
2,2019-12-01,1,ElasticNet,test,360,0.3393192306982952,0.45314033304586293,1.1990896179166088
2,2019-12-01,1,PLS,train,1440,0.1771975468749753,0.24437313219424348,0.6038162954856122
2,2019-12-01,1,PLS,test,360,0.3346779140006778,0.4482282873086083,1.1819207724627965
2,2019-12-01,1,XGBoost,train,1440,0.008053332155308957,0.012038448314485245,0.028235610346470832
2,2019-12-01,1,XGBoost,test,360,0.2915879869852155,0.40072420133417025,0.958675697392677
2,2019-12-01,1,LightGBM,train,1440,0.17125286037259205,0.23678513321557454,0.5861176415951388
2,2019-12-01,1,LightGBM,test,360,0.27952292244383425,0.3761262514500708,0.9337935160548139
2,2019-12-01,1,CatBoost,train,1440,0.049618448517627575,0.06887664727265243,0.17151884154098077
2,2019-12-01,1,CatBoost,test,360,0.2845438593947313,0.3810196605297196,0.9527937409084689
2,2019-12-01,3,Seasonal Naive,test,360,0.31184520508814745,0.43060364946271046,1.0826431682854936
2,2019-12-01,3,Ridge,train,1440,0.17595557858422906,0.2457137216222795,0.6025507517886493
2,2019-12-01,3,Ridge,test,360,0.2865341261440012,0.37648850835227654,1.0193283987431496
2,2019-12-01,3,Lasso,train,1440,0.1723873877070268,0.23928753453761387,0.5946795124963301
2,2019-12-01,3,Lasso,test,360,0.2912662381060516,0.3871923204811048,1.0233581686273985
2,2019-12-01,3,ElasticNet,train,1440,0.1716676404952233,0.23841528154574218,0.5912981222058994
2,2019-12-01,3,ElasticNet,test,360,0.29578322386511935,0.3913591092073351,1.0505063571076219
2,2019-12-01,3,PLS,train,1440,0.17366589667624027,0.24206255313805203,0.5970602254679969
2,2019-12-01,3,PLS,test,360,0.30800738454919263,0.4087702248808054,1.0983162692493358
2,2019-12-01,3,XGBoost,train,1440,0.008007067433655314,0.012134860753452006,0.02711805959142127
2,2019-12-01,3,XGBoost,test,360,0.2965205373221048,0.3986921555307434,1.0091208908158564
2,2019-12-01,3,LightGBM,train,1440,0.1719461598090729,0.23749968039313743,0.5849045319701414
2,2019-12-01,3,LightGBM,test,360,0.275104034663772,0.37213795648842585,0.9196276504877422
2,2019-12-01,3,CatBoost,train,1440,0.05152402705603763,0.0724060854366121,0.1740862031168964
2,2019-12-01,3,CatBoost,test,360,0.27585981273431004,0.36611654050202525,0.9381471817974736
2,2019-12-01,6,Seasonal Naive,test,360,0.31094772998101444,0.42647219953586,1.0670448903107685
2,2019-12-01,6,Ridge,train,1440,0.18020815832486226,0.24665771378314386,0.6184387542635329
2,2019-12-01,6,Ridge,test,360,0.2809599606921891,0.41236566590487556,0.9834032995745926
2,2019-12-01,6,Lasso,train,1440,0.17672417035736426,0.24148177316221692,0.6092249254401967
2,2019-12-01,6,Lasso,test,360,0.28794519460156476,0.4288249306817264,0.9908723851826184
2,2019-12-01,6,ElasticNet,train,1440,0.1759893881735315,0.24071505026149223,0.6056567456151127
2,2019-12-01,6,ElasticNet,test,360,0.29149444925337903,0.4326493109653505,1.0079063677631868
2,2019-12-01,6,PLS,train,1440,0.1781676530096947,0.24408272520815746,0.6100156014126976
2,2019-12-01,6,PLS,test,360,0.29283176685588014,0.433166942302886,1.0209316386702474
2,2019-12-01,6,XGBoost,train,1440,0.008385473956507869,0.012878840420961222,0.028037458348464567
2,2019-12-01,6,XGBoost,test,360,0.29520630076810345,0.395609073649541,1.0052611496216524
2,2019-12-01,6,LightGBM,train,1440,0.16984803770376222,0.23482832100451356,0.5800250484272594
2,2019-12-01,6,LightGBM,test,360,0.27428833873965364,0.3708326554565175,0.9355884289733468
2,2019-12-01,6,CatBoost,train,1440,0.04980262546130158,0.06803921916029763,0.1705810161317982
2,2019-12-01,6,CatBoost,test,360,0.28946849842934036,0.3785419735352259,0.9882221377656337
3,2020-12-01,1,Seasonal Naive,test,360,0.27217594139668255,0.36925583465906475,0.9301613799273823
3,2020-12-01,1,Ridge,train,1800,0.1885793709314308,0.26138213495366047,0.6283189118889029
3,2020-12-01,1,Ridge,test,360,0.2578338592340947,0.3605724387780144,0.8609401510456741
3,2020-12-01,1,Lasso,train,1800,0.18652852621064392,0.25811056986140735,0.6235759670682723
