split_id,train_end,horizon,model,set,n_rows,MAE,RMSE,MASE
1,2018-12-31,1,Seasonal Naive,test,1560,0.13598483559281943,0.20266169123630554,1.0209333687152302
1,2018-12-31,1,Ridge,train,4710,0.09884730245510921,0.1407185878910021,0.7494421393455917
1,2018-12-31,1,Ridge,test,1560,0.10268174269938139,0.14289601745403638,0.7891845466853188
1,2018-12-31,1,Lasso,train,4710,0.09891919047422537,0.14106089113190792,0.7491351562743395
1,2018-12-31,1,Lasso,test,1560,0.1027775781465642,0.14255826610431593,0.7911121640720251
1,2018-12-31,1,ElasticNet,train,4710,0.09889403528209688,0.14095235753336632,0.7490697083006866
1,2018-12-31,1,ElasticNet,test,1560,0.10270206232396704,0.14263978433236543,0.7897989935044647
1,2018-12-31,1,PLS,train,4710,0.09895039520646608,0.14083767432694688,0.7500905680580402
1,2018-12-31,1,PLS,test,1560,0.10271630840231397,0.14272603465226003,0.790139056544066
1,2018-12-31,1,XGBoost,train,4710,0.0874065021678814,0.11939179840590775,0.6872802475849175
1,2018-12-31,1,XGBoost,test,1560,0.10328223668365946,0.14471188814573682,0.7898921069754018
1,2018-12-31,1,LightGBM,train,4710,0.08955577010982543,0.1244379193177958,0.6953800711043905
1,2018-12-31,1,LightGBM,test,1560,0.10330961428467299,0.14567221979723816,0.7912693321276758
1,2018-12-31,1,CatBoost,train,4710,0.09364492699208618,0.13060032131870777,0.7191639006654875
1,2018-12-31,1,CatBoost,test,1560,0.10236120499900261,0.14237593929015013,0.7842500266718508
1,2018-12-31,4,Seasonal Naive,test,1560,0.13685140077811056,0.2032316966697651,1.0258718860217282
1,2018-12-31,4,Ridge,train,4710,0.09886725039972209,0.14133793868401195,0.750029544042599
1,2018-12-31,4,Ridge,test,1560,0.10382774671655955,0.14246788819505798,0.8005595091290248
1,2018-12-31,4,Lasso,train,4710,0.09897971681795277,0.1415029949423768,0.7510828782983384
1,2018-12-31,4,Lasso,test,1560,0.1040547649410794,0.14228006035137405,0.8036798391603487
1,2018-12-31,4,ElasticNet,train,4710,0.09896825901407542,0.14146889276119715,0.7508825454314284
1,2018-12-31,4,ElasticNet,test,1560,0.10397134063779123,0.14238623679076826,0.801839779843405
1,2018-12-31,4,PLS,train,4710,0.09890439084984502,0.14143962329678259,0.750236468266289
1,2018-12-31,4,PLS,test,1560,0.10408309340225275,0.142456067811392,0.8032101039559288
1,2018-12-31,4,XGBoost,train,4710,0.08695690395304694,0.11957620843463276,0.6841003276166985
1,2018-12-31,4,XGBoost,test,1560,0.1049776514933289,0.14650890002837724,0.805250149039285
1,2018-12-31,4,LightGBM,train,4710,0.08888930606518347,0.1240931191348627,0.6917155317622038
1,2018-12-31,4,LightGBM,test,1560,0.10450026561543524,0.14582857016362782,0.8011610051082583
