feature,importance,importance_std,split_id,train_end,horizon,model
year,0.0,0.0,1,2018-12-31,1,Ridge
month,0.010281128235417625,0.0007697831746274795,1,2018-12-31,1,Ridge
quarter,0.002462883471632682,0.00027876097522523376,1,2018-12-31,1,Ridge
week_sin,0.001755515720089873,0.0004112275166852073,1,2018-12-31,1,Ridge
week_cos,-0.00013141146675647587,0.00013574558880847333,1,2018-12-31,1,Ridge
HospRisk_lag1,0.00014167834561799043,5.698048971880234e-05,1,2018-12-31,1,Ridge
HospRisk_lag2,-1.3619980646828455e-05,2.8282916461723135e-05,1,2018-12-31,1,Ridge
HospRisk_lag4,0.00021367847449436095,9.451514157002239e-05,1,2018-12-31,1,Ridge
HospRisk_lag8,2.7950739738114017e-05,5.5176578769405254e-05,1,2018-12-31,1,Ridge
HospRisk_lag12,0.0002460318269426109,5.727735791513089e-05,1,2018-12-31,1,Ridge
HospRisk_lag24,-0.00016778328333669212,0.00010808772351594617,1,2018-12-31,1,Ridge
HospRisk_lag52,0.00020818805089102278,3.824700811648765e-05,1,2018-12-31,1,Ridge
HospRisk_rollmean12,0.0011867112469022111,0.0003572216428799365,1,2018-12-31,1,Ridge
HospRisk_rollmean24,0.007719823547414334,0.000573609281908687,1,2018-12-31,1,Ridge
HospRisk_rollmean52,0.03496275023652614,0.0012369891358110304,1,2018-12-31,1,Ridge
HospRisk_ewm12,0.0430674949419965,0.001719591439802353,1,2018-12-31,1,Ridge
HospRisk_ewm24,0.09277621375147507,0.0027720846254542892,1,2018-12-31,1,Ridge
HospRisk_ewm52,0.002558939397584542,0.00035868164278579135,1,2018-12-31,1,Ridge
year,0.0,0.0,1,2018-12-31,1,Lasso
month,0.0017594169588853181,0.00026055871406722476,1,2018-12-31,1,Lasso
quarter,0.0,0.0,1,2018-12-31,1,Lasso
week_sin,0.0012748996302663963,0.0003447050204689451,1,2018-12-31,1,Lasso
week_cos,-7.706830536675092e-05,0.00011846845469726064,1,2018-12-31,1,Lasso
HospRisk_lag1,1.094881175933704e-06,2.1955520335281795e-05,1,2018-12-31,1,Lasso
HospRisk_lag2,3.9099905115991264e-05,0.00011507859556342116,1,2018-12-31,1,Lasso
HospRisk_lag4,0.0002080303439363107,8.10255921020968e-05,1,2018-12-31,1,Lasso
